property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
PH,Capital Federal,Mataderos,-34.6618237,-58.5088387,55.0,1127.2727272727273
apartment,Capital Federal,Mataderos,-34.6522615,-58.5229825,55.0,1309.090909090909
apartment,Buenos Aires Costa Atlántica,Centro,-38.0026256,-57.5494468,35.0,1828.5714285714291
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.53295670000001,-58.52178249999999,106.0,1226.4150943396226
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,45.0,3066.666666666666
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,65.0,3000.0
apartment,Bs.As. G.B.A. Zona Norte,Martínez,-34.4860195,-58.5038139,39.0,2948.717948717949
house,Bs.As. G.B.A. Zona Norte,Bella Vista,-34.5879112015,-58.698782844499995,164.0,1524.3902439024396
PH,Capital Federal,Mataderos,-34.6523561177,-58.5016239381,140.0,1707.142857142857
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,270.0,2111.1111111111113
apartment,Capital Federal,Palermo,-34.580503566,-58.4058744847,104.0,3365.384615384615
apartment,Capital Federal,Palermo,-34.590926,-58.4116653,118.0,2292.372881355933
house,Bs.As. G.B.A. Zona Oeste,General Rodríguez,-34.6501160392,-58.966033971499996,200.0,1450.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.3640924,-58.6897345,230.0,1152.1739130434785
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4794863,-58.9845412,425.0,1529.411764705883
apartment,Capital Federal,Flores,-34.635117947800005,-58.4739639408,43.0,1744.186046511628
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.453857,-58.84018100000001,150.0,1186.6666666666667
house,Bs.As. G.B.A. Zona Norte,Munro,-34.5417881941,-58.5403487953,207.0,628.0193236714975
apartment,Córdoba,Córdoba,-31.405373600000004,-64.1562667,50.0,616.9204
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.5272528,-58.51287660000001,172.0,982.5581395348836
apartment,Capital Federal,Boedo,-34.6217693287,-58.4221081951,80.0,1812.5
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4630984,-58.9021989,400.0,1000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,120.0,1066.6666666666667
apartment,Bs.As. G.B.A. Zona Norte,Del Viso,-34.4447426129,-58.7952483187,138.0,869.5652173913044
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4394337814,-58.7987030039,32.0,2468.75
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.451624100000004,-58.9165454,209.0,1531.1004784688996
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4649130957,-58.8595998774,30.0,1566.666666666667
PH,Bs.As. G.B.A. Zona Norte,Pilar,-34.4518545,-58.9035669,140.0,1178.5714285714287
house,Capital Federal,Puerto Madero,-34.6177194,-58.3620561,80.0,875.0
apartment,Capital Federal,Balvanera,-34.60967479999999,-58.3986588,141.0,1702.127659574468
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4825362878,-58.587873528900005,142.0,3098.591549295775
house,Capital Federal,Boedo,-34.636320899999994,-58.4107019,504.0,1091.2698412698412
apartment,Capital Federal,Caballito,-34.6222111,-58.43912829999999,50.0,2200.0
apartment,Capital Federal,Caballito,-34.623894314299996,-58.4468606529,100.0,1705.0
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,2721.1111111111113
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,2750.3703703703704
house,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4815405,-58.537634,720.0,611.1111111111112
apartment,Capital Federal,Caballito,-34.6287865,-58.42778320000001,70.0,1542.857142857143
apartment,Capital Federal,Nuñez,-34.553577600000004,-58.45551139999999,50.0,3460.0
house,Bs.As. G.B.A. Zona Sur,Berazategui,-34.8222793407,-58.1808181479,290.0,1586.2068965517242
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4690857,-58.913461100000006,140.0,1135.7142857142858
apartment,Capital Federal,Boedo,-34.6187769485,-58.4026450688,38.0,1918.421052631579
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0150119,-57.5341134,332.0,1054.2168674698796
