property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_aprox_usd
PH,Capital Federal,Mataderos,-34.6618237,-58.5088387,55.0,62000.0
apartment,Capital Federal,Mataderos,-34.6522615,-58.5229825,55.0,72000.0
apartment,Buenos Aires Costa Atlántica,Centro,-38.0026256,-57.5494468,35.0,64000.0
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.53295670000001,-58.52178249999999,106.0,130000.0
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,45.0,138000.0
apartment,Capital Federal,Belgrano,-34.5598729,-58.443362,65.0,195000.0
apartment,Bs.As. G.B.A. Zona Norte,Martínez,-34.4860195,-58.5038139,39.0,115000.0
house,Bs.As. G.B.A. Zona Norte,Bella Vista,-34.5879112015,-58.698782844499995,164.0,250000.0
PH,Capital Federal,Mataderos,-34.6523561177,-58.5016239381,140.0,239000.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.425087,-58.5796585,270.0,570000.0
apartment,Capital Federal,Palermo,-34.580503566,-58.4058744847,104.0,350000.0
apartment,Capital Federal,Palermo,-34.590926,-58.4116653,118.0,270500.0
house,Bs.As. G.B.A. Zona Oeste,General Rodríguez,-34.6501160392,-58.966033971499996,200.0,290000.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.3640924,-58.6897345,230.0,265000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4794863,-58.9845412,425.0,650000.0
apartment,Capital Federal,Flores,-34.635117947800005,-58.4739639408,43.0,75000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.453857,-58.84018100000001,150.0,178000.0
house,Bs.As. G.B.A. Zona Norte,Munro,-34.5417881941,-58.5403487953,207.0,130000.0
apartment,Córdoba,Córdoba,-31.405373600000004,-64.1562667,50.0,30846.02
PH,Bs.As. G.B.A. Zona Norte,Munro,-34.5272528,-58.51287660000001,172.0,169000.0
apartment,Capital Federal,Boedo,-34.6217693287,-58.4221081951,80.0,145000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4630984,-58.9021989,400.0,400000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4778621,-58.9091671,120.0,128000.0
apartment,Bs.As. G.B.A. Zona Norte,Del Viso,-34.4447426129,-58.7952483187,138.0,120000.0
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4394337814,-58.7987030039,32.0,79000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.451624100000004,-58.9165454,209.0,320000.0
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.4649130957,-58.8595998774,30.0,47000.0
PH,Bs.As. G.B.A. Zona Norte,Pilar,-34.4518545,-58.9035669,140.0,165000.0
house,Capital Federal,Puerto Madero,-34.6177194,-58.3620561,80.0,70000.0
apartment,Capital Federal,Balvanera,-34.60967479999999,-58.3986588,141.0,240000.0
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4825362878,-58.587873528900005,142.0,440000.0
house,Capital Federal,Boedo,-34.636320899999994,-58.4107019,504.0,550000.0
apartment,Capital Federal,Caballito,-34.6222111,-58.43912829999999,50.0,110000.0
apartment,Capital Federal,Caballito,-34.623894314299996,-58.4468606529,100.0,170500.0
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,220410.0
apartment,Capital Federal,Caballito,-34.6209278,-58.44587360000001,81.0,222780.0
house,Bs.As. G.B.A. Zona Norte,San Isidro,-34.4815405,-58.537634,720.0,440000.0
apartment,Capital Federal,Caballito,-34.6287865,-58.42778320000001,70.0,108000.0
apartment,Capital Federal,Nuñez,-34.553577600000004,-58.45551139999999,50.0,173000.0
house,Bs.As. G.B.A. Zona Sur,Berazategui,-34.8222793407,-58.1808181479,290.0,460000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4690857,-58.913461100000006,140.0,159000.0
apartment,Capital Federal,Boedo,-34.6187769485,-58.4026450688,38.0,72900.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.034794,-57.5416872,79.01879973690399,235000.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0150119,-57.5341134,332.0,350000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0089211,-57.5461427,29.0,51000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.000151,-57.54315,90.0,175000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0034731,-57.5501571,93.28608302273388,150000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0041665,-57.55775,46.09429984652733,118000.0
PH,Buenos Aires Costa Atlántica,Mar del Plata,-37.9959097,-57.55834029999999,140.0,92000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0002623,-57.5461556,42.0,79900.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9857857,-57.58271170000001,28.0,54900.0
house,Córdoba,Córdoba,-31.4253708,-64.1577465,275.8195765807504,875000.0
apartment,Córdoba,Córdoba,-31.4283549,-64.205149,58.166616472998776,50000.0
apartment,Córdoba,Córdoba,-31.4244069,-64.1800624,80.11628306658322,120000.0
house,Córdoba,Córdoba,-31.3567452,-64.2544127,674.9467285740715,385000.0
PH,Córdoba,Córdoba,-31.377005629099997,-64.2454497,117.08593522841264,135000.0
store,Córdoba,Córdoba,-31.3764076,-64.2123296,180.0,75000.0
apartment,Buenos Aires Costa Atlántica,San Bernardo,-36.6806689,-56.67748320000001,75.0,54000.0
house,Córdoba,Córdoba,-31.429541974899998,-64.2438036203,200.0,47671.12
apartment,Capital Federal,Belgrano,-34.5626966465,-58.4601567114,60.36158313235722,178000.0
house,Entre Ríos,Colón,-32.209711337399995,-58.2150341126,344.0,145817.55
house,Buenos Aires Interior,Luján,-34.5850814167,-59.1181568709,534.0,150000.0
house,Bs.As. G.B.A. Zona Sur,Lanús,-34.711441581799996,-58.3792223609,95.0,120000.0
house,Córdoba,Punilla,-31.4180034,-64.50956550000001,129.0,70104.59
house,Buenos Aires Costa Atlántica,Villa Gesell,-37.2633972,-56.9732704,450.0,125000.0
house,Entre Ríos,Colón,-32.2155138937,-58.234014948900004,328.0,62315.19
house,Bs.As. G.B.A. Zona Sur,Banfield,-34.738010100000004,-58.4038541,80.0,165000.0
house,Bs.As. G.B.A. Zona Norte,Jose Leon Suarez,-34.54517,-58.578136,162.24680975338256,96000.0
PH,Capital Federal,Colegiales,-34.579394,-58.445882,155.29292461873675,249000.0
house,Buenos Aires Interior,Exaltación de la Cruz,-34.392214,-59.038811,162.24680975338256,130000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9939416,-57.5666243,112.0,100000.0
house,Capital Federal,Floresta,-34.6280255,-58.46624789999999,600.0,219500.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-37.9610169,-57.6212221,380.0,90000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0022545,-57.5435468,39.50939986845199,74600.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9580335,-57.5397252,47.0,72000.0
apartment,Bs.As. G.B.A. Zona Norte,Benavidez,-34.40083,-58.677943000000006,109.74833296792221,185000.0
apartment,Bs.As. G.B.A. Zona Norte,Acassuso,-34.473735999999995,-58.503058,99.87098300080922,380000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9951681,-57.556337600000006,110.0,170000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.96374520000001,-57.5406483,97.0,85000.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0947841,-57.5572926,338.0,100000.0
apartment,Santa Fe,Santa Fe,-31.622319,-60.705482,43.899333187168885,67300.41
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0022545,-57.5435468,36.0,74600.0
apartment,Capital Federal,Balvanera,-34.617226445,-58.395942936800004,87.79866637433777,129000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.005987,-57.5451358,84.0,140000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-37.9979578,-57.554260600000006,30.0,65000.0
PH,Bs.As. G.B.A. Zona Sur,Quilmes,-34.732178999999995,-58.271759,115.8534516996925,130000.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.0126951,-57.53649100000001,324.4936195067651,260000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0131731,-57.5509598,73.53138308850788,120000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.1012841,-57.57042360000001,91.09111636337543,55000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0031103,-57.5484595,36.0,55000.0
apartment,Bs.As. G.B.A. Zona Oeste,Caseros,-34.6049,-58.56197,42.801849857489664,64800.0
apartment,Capital Federal,Caballito,-34.620725,-58.438704,55.971649813640326,128000.0
apartment,Capital Federal,Balvanera,-34.603172,-58.399464,77.92131640722477,118000.0
apartment,Buenos Aires Costa Atlántica,Mar del Plata,-38.0053306,-57.5510655,29.0,55900.0
house,Buenos Aires Costa Atlántica,Pinamar,-37.093483,-56.851845,32.44936195067651,750000.0
apartment,Neuquén,Confluencia,-38.962529,-68.063167,62.55654979171566,82664.53
apartment,Capital Federal,Barrio Norte,-34.594304,-58.403685,38.41191653877277,93000.0
house,Córdoba,Punilla,-31.389619,-64.495867,405.61702438345645,225000.0
house,Bs.As. G.B.A. Zona Norte,General San Martín,-34.567468,-58.51357,219.03319316706646,153000.0
PH,Capital Federal,Barracas,-34.65045,-58.382404,156.0,160000.0
house,Bs.As. G.B.A. Zona Norte,San Andres,-34.577168,-58.538654,190.0,108000.0
house,Córdoba,Villa Allende,-31.3528055,-64.3001146,243.37021463007386,110000.0
apartment,Córdoba,Córdoba,-31.414368300000003,-64.16957579999999,93.28608302273388,145000.0
PH,Córdoba,Córdoba,-31.3601771,-64.2244101,135.57318815921462,125000.0
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,-34.5971063,-58.5294022,43.0,67000.0
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,-34.5971063,-58.5294022,43.0,67000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4804129,-58.9920461,350.0,540000.0
PH,Capital Federal,Palermo,-34.585483,-58.428493,240.0,315000.0
